ROAD_GEOMETRY_DESC,CATEGORIZED_ROAD_SURFACE,GEOMETRY_SURFACE,SEVERITY_MEAN,SEVERITY_VARIANCE,SERIOUS_FATAL_PERCENT
Dead end,Gravel,Dead end_Gravel,2.3846153846153846,0.24615384615384606,61.53846153846154
Dead end,Unknown,Dead end_Unknown,2.4,0.30000000000000004,60.0
Unknown,Unpaved,Unknown_Unpaved,2.45,0.26052631578947366,55.00000000000001
Private property,Gravel,Private property_Gravel,2.5,0.5,50.0
Dead end,Unpaved,Dead end_Unpaved,2.5555555555555554,0.2777777777777777,44.44444444444444
Road closure,Paved,Road closure_Paved,2.5714285714285716,0.2857142857142857,42.857142857142854
Not at intersection,Unpaved,Not at intersection_Unpaved,2.576875,0.2805155565978737,40.5
Not at intersection,Gravel,Not at intersection_Gravel,2.5826870152614463,0.276222179771324,40.080060045033775
Not at intersection,Paved,Not at intersection_Paved,2.5953317265000635,0.2809332332494382,38.46852320449735
T intersection,Gravel,T intersection_Gravel,2.6234796404019036,0.2518082031566956,36.80592279217345
